Designator,Mid X,Mid Y,Layer,Rotation
C1,10.0000,24.0000,Bottom,180.0
C2,33.0000,23.0000,Bottom,0.0
C3,27.5000,13.0000,Bottom,0.0
R1,40.0000,24.0000,Bottom,0.0
R11,25.0000,25.0000,Bottom,180.0
R14,28.5000,25.0000,Bottom,180.0
R2,40.0000,12.0000,Bottom,180.0
R3,40.0000,21.5000,Bottom,180.0
R4,24.0000,13.0000,Bottom,0.0
R5,40.0000,9.0000,Bottom,180.0
R7,44.0000,21.5000,Bottom,180.0
U2,34.0000,17.0000,Bottom,180.0
